DateTime,open,high,low,close,Adj Close,volume,close_sma,bb,rsi
12-08-2010,242.212219,247.62262,241.49649,246.251251,246.251251,4404700,0.961990812,0.132603941,32.08552129
13-08-2010,244.744751,245.840836,243.248245,243.418411,243.418411,3865500,0.961990812,0.132603941,32.08552129
16-08-2010,242.082077,245.180176,240.490494,243.03804,243.03804,2607300,0.961990812,0.132603941,32.08552129
17-08-2010,244.509506,247.597595,243.258255,245.505508,245.505508,3777600,0.961990812,0.132603941,32.08552129
18-08-2010,245.465469,245.680679,241.016022,241.316315,241.316315,5367400,0.961990812,0.132603941,32.08552129
19-08-2010,240.745743,241.49649,233.858856,234.219223,234.219223,7842100,0.961990812,0.132603941,32.08552129
20-08-2010,234.219223,236.031036,230.740738,231.241241,231.241241,7827300,0.961990812,0.132603941,32.08552129
23-08-2010,230.980988,234.35936,229.094101,232.267273,232.267273,5966400,0.961990812,0.132603941,32.08552129
24-08-2010,229.079086,229.414413,225.685684,225.920914,225.920914,5519800,0.961990812,0.132603941,32.08552129
25-08-2010,225.22522,229.13414,225.22522,227.537537,227.537537,5179000,0.961990812,0.132603941,32.08552129
26-08-2010,228.258255,228.858856,225.44545,225.715714,225.715714,3550400,0.961990812,0.132603941,32.08552129
27-08-2010,226.5065,230.22522,224.049042,229.644638,229.644638,4620100,0.961990812,0.132603941,32.08552129
30-08-2010,229.80481,230.110107,226.436432,226.571579,226.571579,2460300,0.961990812,0.132603941,32.08552129
31-08-2010,225.280273,227.662659,224.224228,225.235229,225.235229,3889700,0.961990812,0.132603941,32.08552129
01-09-2010,227.717712,232.702698,226.476471,230.395401,230.395401,6450100,0.988813272,0.120751069,32.08552129
02-09-2010,231.651657,232.447449,230.385391,231.821823,231.821823,3365000,0.998484843,0.110501085,34.36387064
03-09-2010,235.495499,236.176178,233.953949,235.385391,235.385391,5075700,1.016226116,0.099420611,39.7975478
07-09-2010,232.482483,234.029022,231.741745,232.432434,232.432434,3416300,1.007539192,0.074700409,37.05969869
08-09-2010,232.827835,236.486481,232.487488,235.525528,235.525528,4798700,1.02278084,0.060164231,41.59226572
09-09-2010,239.15416,240.440445,235.525528,238.328323,238.328323,4856300,1.033634672,0.068143728,45.42733718
10-09-2010,239.749756,240.135132,237.777771,238.308304,238.308304,3944600,1.031290062,0.076275936,45.40440545
13-09-2010,240.690689,242.417419,240.005005,241.376373,241.376373,4478500,1.041634322,0.088805425,49.60324736
14-09-2010,241.246246,242.617615,240.280273,240.45546,240.45546,4428500,1.033032065,0.091613039,48.39999856
15-09-2010,240.21521,241.186188,239.489487,240.560562,240.560562,4800700,1.029369882,0.093657344,48.55338226
16-09-2010,240.21521,241.466461,239.944946,240.770767,240.770767,3935000,1.025550269,0.089847651,48.88067125
17-09-2010,242.117111,245.84584,240.830826,245.320328,245.320328,11271900,1.03996899,0.096854422,55.48186734
20-09-2010,246.49649,255.460464,246.276276,254.394394,254.394394,8798100,1.069426323,0.115185008,65.14851526
21-09-2010,255.095093,260.250244,254.709717,256.987,256.987,8923600,1.070122415,0.125132543,67.33120189
22-09-2010,256.686676,259.149139,256.0961,258.25827,258.25827,5069100,1.066576938,0.137334857,68.3770263
23-09-2010,257.562561,260.105103,255.905899,256.997009,256.997009,4630100,1.053543959,0.141107651,66.11560518
24-09-2010,261.131134,264.179169,259.389404,263.908905,263.908905,6707000,1.07291767,0.156970296,71.64926512
27-09-2010,264.689697,268.693695,264.689697,265.470459,265.470459,6208500,1.069010092,0.162406247,72.73269173
28-09-2010,267.007019,267.062073,259.484497,263.848846,263.848846,7302000,1.053894337,0.162188663,69.75167304
29-09-2010,264.189178,266.736725,262.617615,264.1091,264.1091,4340000,1.047231007,0.160837144,69.96444071
30-09-2010,264.844849,266.201202,259.719727,263.158173,263.158173,6481700,1.036167794,0.153092415,68.08010217
01-10-2010,265.265259,265.575562,261.761749,263.073059,263.073059,4445500,1.029550256,0.145731672,67.90381762
04-10-2010,262.737732,264.389404,259.684692,261.436432,261.436432,3877100,1.017179462,0.13086085,64.44810508
05-10-2010,264.454468,270.270264,263.538544,269.384399,269.384399,7007100,1.039773859,0.11761126,71.92136973
06-10-2010,269.899902,270.245239,265.235229,267.442444,267.442444,5519000,1.024742918,0.091254746,68.1517922
07-10-2010,268.373383,268.868866,264.834839,265.270264,265.270264,4786800,1.010900324,0.063226691,64.10449984
08-10-2010,266.651642,269.069061,264.074066,268.443451,268.443451,5712600,1.019095595,0.057239614,67.17155862
11-10-2010,269.509521,272.572571,268.853851,269.689697,269.689697,5247300,1.02031224,0.055083452,68.31656306
12-10-2010,270.330322,273.26828,269.164154,270.965973,270.965973,7499600,1.021632406,0.054280453,69.49016879
13-10-2010,273.773773,274.019012,271.436432,271.921936,271.921936,6105000,1.02113234,0.047921466,70.37533445
14-10-2010,272.362366,272.897888,268.823822,270.735748,270.735748,13254900,1.014819607,0.049598056,67.74879778
